"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ly75",17.3327729865557,4.42519159959821,0.720050251351269,6.14567051576436,7.96264198484715e-10,8.09085401680655e-09
"Bmyc",482.794349868434,-0.65042668442568,0.105955940818481,-6.13865234361859,8.32244771242862e-10,8.38539059428732e-09
"Syt13",76.6651999165807,3.42359422409311,0.558548351215318,6.12945005860975,8.81833495240565e-10,8.81098633994531e-09
"Ptrh1",126.437169544758,0.906670068760494,0.148117590301369,6.1212855739533,9.28233709674544e-10,9.19795221404775e-09
"Tomm34",993.404339640764,-0.379192077374973,0.0619798257963281,-6.1179919837309,9.47618326226645e-10,9.31306863234219e-09
"Zc3h6",435.62276231292,-0.911995017494027,0.150683338406164,-6.05239455895091,1.427084072445e-09,1.39111691289557e-08
"Dnm1",4176.20485223804,-0.65106468457431,0.107641918109002,-6.04843072301086,1.46263490091262e-09,1.40295939695538e-08
"Hck",23.1477141732852,3.69903964957215,0.611551321601279,6.04861688449405,1.46094610864207e-09,1.40295939695538e-08
"Cse1l",1406.66770146539,0.562563986170554,0.0937028010729563,6.0037051158433,1.92864845787536e-09,1.83527738174012e-08
"Pfkfb3",4499.3918709943,-1.00244075180816,0.167033988564519,-6.00141779779724,1.95601962245328e-09,1.84026938418182e-08
"Tspan18",905.560247090009,-0.69987278757244,0.116631703790216,-6.00070791070063,1.96459116910152e-09,1.84026938418182e-08
"Bmp7",333.715675024944,-1.00656846673315,0.168287610010161,-5.98123930022166,2.21446260519356e-09,2.0582485764551e-08
"Rapgef4",55.976228505214,-1.61216061017645,0.27044696799897,-5.96109700213979,2.50550172016465e-09,2.31084350959801e-08
"Ctsz",5455.7584179507,-0.332289131283878,0.0558019884771958,-5.95479014909428,2.60405749790205e-09,2.38340835113325e-08
"Mrps2",439.684998650029,0.457438615494692,0.0769743988615791,5.94273709519045,2.80301801073132e-09,2.54607469308095e-08
"Soga1",8925.41916526934,-0.518164653965719,0.0873868919372747,-5.92954666859706,3.03772168620991e-09,2.73851752012457e-08
"Pbx3",289.310206172851,0.849365923261514,0.143426752621428,5.92194906276236,3.18148176999745e-09,2.84671391210966e-08
"Fam69b",188.206373754534,-1.00044305232452,0.169999062449011,-5.88499158708357,3.98074240631154e-09,3.5354889964204e-08
"Bdnf",15.4067502789145,2.63550932549809,0.448586384045019,5.8751433820461,4.224775185954e-09,3.72463635879327e-08
"Hnrnpa3",8681.54729670786,0.696859261542729,0.118646679241111,5.87339878368268,4.26949750663279e-09,3.73658942368811e-08
"Fnbp1",2185.36556757474,-0.447352602380593,0.0764971559516042,-5.84796384670313,4.97626670543553e-09,4.3235824491429e-08
"Trmt6",381.336753462771,0.549761491457002,0.0942653259288419,5.83206482383565,5.47456409914985e-09,4.72230385243214e-08
"Olfml2a",166.793997209939,-1.61359923454662,0.278203147692021,-5.80007540508821,6.62851060940961e-09,5.6768458719158e-08
"Col20a1",309.932957688564,-1.07514519434849,0.185682822838379,-5.79022430784732,7.02924872968316e-09,5.97735406162419e-08
"Rpl7a",12197.0117764304,0.359381354638047,0.062276931751826,5.77069782548351,7.89439268440692e-09,6.66575833000274e-08
"Rpl12",10524.7879831685,0.444398856950464,0.0778244495567916,5.71027305019573,1.12795058821911e-08,9.45743185506794e-08
"Olfm1",1364.67996551651,-0.446274348116359,0.07818718086432,-5.70776875675808,1.14466789375751e-08,9.53095003205036e-08
"Sord",1167.13085388329,-0.655177376910479,0.115364217641332,-5.67920790610679,1.35319918850397e-08,1.11895574276984e-07
"Dut",442.909159329365,0.848593270376008,0.150111082302284,5.65310207188543,1.57577663785103e-08,1.29407958135848e-07
"Tmem62",294.072540022928,-0.55346798432836,0.0981473696984053,-5.6391524910866,1.70889152358539e-08,1.3938509774006e-07
"Kcnb1",1771.21006216143,-0.493588554099618,0.0875534856890815,-5.63756599996991,1.7247051162016e-08,1.39724421238224e-07
"Lama5",2370.5674071052,1.01853057112882,0.18109538632584,5.62427675156895,1.86286794191e-08,1.49904608211415e-07
"Nmi",516.870847166433,0.549781296330241,0.0983461969163757,5.59026493721687,2.26723415802396e-08,1.81227583698048e-07
"Ssb",2326.52733909625,0.370570330180067,0.0663230702836045,5.58735186105633,2.30558283556834e-08,1.83072438400427e-07
"Pcna",1755.75216127696,0.625057476850724,0.111914720761524,5.58512296324845,2.33534918787049e-08,1.84216031332679e-07
"Stam2",1139.18742937782,0.431010666196856,0.077236903352456,5.58037217300155,2.40004480954364e-08,1.88081942917831e-07
"Snap23",1292.16456776138,0.400968922702898,0.0719936505778955,5.56950396992384,2.55465569647116e-08,1.98898193510969e-07
"Grb14",210.797216221537,0.909528865880082,0.164551066545477,5.52733497858378,3.25131806248529e-08,2.5150518431741e-07
"Gpsm1",2487.9466947271,-0.479417372738548,0.0870519973593934,-5.50725298994896,3.6447629142772e-08,2.80132739372972e-07
"Top1",1758.86887774577,0.340421069152126,0.0619726617163594,5.49308452669321,3.949736284799e-08,3.01639095890063e-07
"Wdsub1",1110.47546062689,-0.326518632357751,0.0594725712844552,-5.49023903466396,4.01390146310544e-08,3.04599231282495e-07
