"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cutal",128.619657326792,1.19904446391774,0.187892974007441,6.38152900741385,1.7532850202289e-10,2.06096935221025e-09
"Nudt5",285.511064471704,-0.779842622957053,0.12253882485882,-6.3640452228551,1.96508240819327e-10,2.28750855089682e-09
"Lama5",2370.5674071052,-1.15074388120553,0.181468774066521,-6.3412776502458,2.27867449380522e-10,2.62704876737736e-09
"OTTMUSG00000016609",131.265158486707,-23.2557563845201,3.67832855578039,-6.3223706180282,2.57580672499342e-10,2.9413259650163e-09
"Ppip5k1",998.693857726972,0.577008629654205,0.0914048526228435,6.31266954759032,2.74262722575958e-10,3.10227362611862e-09
"Wdsub1",1110.47546062689,0.381182432117075,0.0604314652059211,6.30768145068452,2.83246422069771e-10,3.17394822487529e-09
"Gpsm1",2487.9466947271,0.550338011341967,0.0873612424923278,6.29956712658132,2.98478019854728e-10,3.31365875746128e-09
"Bdnf",15.4067502789145,-3.38333105244614,0.542112934405415,-6.24100780062912,4.34760563402104e-10,4.78236619742314e-09
"Slc20a1",995.766769430324,-0.704502507906211,0.113035279615357,-6.23258959772147,4.58786976020724e-10,4.95572598422386e-09
"Zer1",1788.50365236546,0.480113836357643,0.0770228809022811,6.23339234696717,4.56441063679625e-10,4.95572598422386e-09
"Hspa12b",591.272415082767,0.711714588396332,0.114362760214069,6.22330719426601,4.86782931037681e-10,5.21118512780517e-09
"E030013I19Rik",257.059022937469,1.19095832266448,0.191982245627119,6.20348157077837,5.52275103152342e-10,5.85998096176688e-09
"St6galnac6",1689.91364524435,0.400376369210228,0.0647044085351394,6.18777573699314,6.10190525844809e-10,6.37805316490213e-09
"Entpd2",3035.34642235454,1.25799024790404,0.203315634445652,6.18737585692316,6.11739878201622e-10,6.37805316490213e-09
"Hat1",413.657179788186,-0.890377061248388,0.144266401482479,-6.17175622389476,6.7535574415237e-10,6.98061670033354e-09
"Slc2a6",12.7400380340673,-7.28611276767001,1.18331013834465,-6.15739908884971,7.39493323366816e-10,7.57822645057105e-09
